"state","State_name","Population","date","category","count","grade"
"IL","Illinois ",16980127,2020-04-17,"posNeg",130163,"A"
"IN","Indiana *",6732219,2020-04-17,"posNeg",54785,"B"
"KS","Kansas *",2913314,2020-04-17,"posNeg",16901,"B"
"KY","Kentucky ",4467673,2020-04-17,"posNeg",29747,"A"
"LA","Louisiana ",4648794,2020-04-17,"posNeg",131987,"A"
"MA","Massachusetts *",6892503,2020-04-17,"posNeg",148744,"B"
"MD","Maryland ",6045680,2020-04-17,"posNeg",62009,"A"
"ME","Maine ",1344212,2020-04-17,"posNeg",14903,"A"
"MI","Michigan *",9986857,2020-04-17,"posNeg",98959,"B"
"MN","Minnesota ",5639632,2020-04-17,"posNeg",43053,"A"
"MO","Missouri ",6840439,2020-04-17,"posNeg",51717,"A"
"MS","Mississippi ",2976149,2020-04-17,"posNeg",38584,"A"
"MT","Montana ",1068778,2020-04-17,"posNeg",10244,"A"
"NC","North Carolina ",10488084,2020-04-17,"posNeg",72981,"A"
"ND","North Dakota *",762062,2020-04-17,"posNeg",12342,"B"
"NE","Nebraska ",1934408,2020-04-17,"posNeg",13104,"A"
"NH","New Hampshire *",1359711,2020-04-17,"posNeg",12708,"B"
"NJ","New Jersey ",8882190,2020-04-17,"posNeg",157449,"A"
"NM","New Mexico ",2096829,2020-04-17,"posNeg",34488,"A"
"NV","Nevada ",3080156,2020-04-17,"posNeg",29762,"A"
"NY","New York ",19453561,2020-04-17,"posNeg",573223,"A"
"OH","Ohio *",11689100,2020-04-17,"posNeg",77677,"B"
"OK","Oklahoma *",3956971,2020-04-17,"posNeg",33620,"B"
"OR","Oregon ",4217737,2020-04-17,"posNeg",36321,"A"
"PA","Pennsylvania ",12801989,2020-04-17,"posNeg",147373,"A"
"PR","Puerto Rico ",2933408,2020-04-17,"posNeg",8932,"A"
"RI","Rhode Island *",1059361,2020-04-17,"posNeg",30761,"B"
"SC","South Carolina *",5148714,2020-04-17,"posNeg",36284,"B"
"SD","South Dakota ",884659,2020-04-17,"posNeg",11062,"A"
"TN","Tennessee ",6829174,2020-04-17,"posNeg",87273,"A"
"TX","Texas ",28995881,2020-04-17,"posNeg",169536,"A"
"UT","Utah ",3205958,2020-04-17,"posNeg",55771,"A"
"VA","Virginia ",8535519,2020-04-17,"posNeg",48997,"A"
"VT","Vermont ",623989,2020-04-17,"posNeg",12116,"A"
"WI","Wisconsin ",5822434,2020-04-17,"posNeg",46410,"A"
"WV","West Virginia *",1792147,2020-04-17,"posNeg",18681,"B"
"WY","Wyoming ",578759,2020-04-17,"posNeg",6427,"A"
"AK","Alaska ",731545,2020-04-16,"posNeg",8735,"A"
"AL","Alabama *",4903185,2020-04-16,"posNeg",36391,"B"
"AR","Arkansas ",3017804,2020-04-16,"posNeg",22675,"A"
"AZ","Arizona *",7278717,2020-04-16,"posNeg",47398,"B"
"CA","California *",39512223,2020-04-16,"posNeg",246400,"B"
"CO","Colorado ",5758736,2020-04-16,"posNeg",40533,"A"
"CT","Connecticut ",3565287,2020-04-16,"posNeg",53122,"A"
"DC","District of Columbia ",705749,2020-04-16,"posNeg",12150,"A"
"DE","Delaware ",973764,2020-04-16,"posNeg",13350,"A"
"FL","Florida ",21477737,2020-04-16,"posNeg",219248,"A"
"GA","Georgia ",10617423,2020-04-16,"posNeg",67939,"A"
"HI","Hawaii ",1415872,2020-04-16,"posNeg",20700,"A"
"IA","Iowa ",3155070,2020-04-16,"posNeg",20675,"A"
"ID","Idaho ",1787065,2020-04-16,"posNeg",15831,"A"
"IL","Illinois ",16980127,2020-04-16,"posNeg",122589,"A"
"IN","Indiana *",6732219,2020-04-16,"posNeg",51115,"B"
"KS","Kansas *",2913314,2020-04-16,"posNeg",16122,"B"
"KY","Kentucky ",4467673,2020-04-16,"posNeg",28324,"A"
"LA","Louisiana ",4648794,2020-04-16,"posNeg",126586,"A"
"MA","Massachusetts *",6892503,2020-04-16,"posNeg",140773,"B"
"MD","Maryland ",6045680,2020-04-16,"posNeg",58843,"A"
"ME","Maine ",1344212,2020-04-16,"posNeg",14872,"A"
"MI","Michigan *",9986857,2020-04-16,"posNeg",94286,"B"
"MN","Minnesota ",5639632,2020-04-16,"posNeg",41675,"A"
"MO","Missouri ",6840439,2020-04-16,"posNeg",50648,"A"
"MS","Mississippi ",2976149,2020-04-16,"posNeg",38415,"A"
"MT","Montana ",1068778,2020-04-16,"posNeg",9936,"A"
"NC","North Carolina ",10488084,2020-04-16,"posNeg",70917,"A"
"ND","North Dakota *",762062,2020-04-16,"posNeg",11704,"B"
"NE","Nebraska ",1934408,2020-04-16,"posNeg",12294,"A"
"NH","New Hampshire *",1359711,2020-04-16,"posNeg",12166,"B"
"NJ","New Jersey ",8882190,2020-04-16,"posNeg",151830,"A"
"NM","New Mexico ",2096829,2020-04-16,"posNeg",33394,"A"
"NV","Nevada ",3080156,2020-04-16,"posNeg",28451,"A"
"NY","New York ",19453561,2020-04-16,"posNeg",550579,"A"
"OH","Ohio *",11689100,2020-04-16,"posNeg",74840,"B"
"OK","Oklahoma *",3956971,2020-04-16,"posNeg",30899,"B"
"OR","Oregon ",4217737,2020-04-16,"posNeg",34938,"A"
